activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases,data_version,data_version_information
networking-provider_aws-region_us_gov_west_1,66e9aef3-51ac-4e8f-ad1f-54a7e0197ff4,AWS (us-gov-west-1) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_aws-region_us_gov_west_1,f67c8ac8-1711-4afa-a07f-e04e7d4a6c35,AWS (us-gov-west-1) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_east_1-type_hdd,c215e8c1-c24d-47fb-a6e0-0123686d5d07,AWS (us-gov-east-1) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_east_1-type_hdd,58de74a6-eb72-4c49-b33b-4fef3592562b,AWS (us-gov-east-1) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_east_1-type_ssd,0c093c14-10c2-40b0-a45e-6c5b15354a68,AWS (us-gov-east-1) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_east_1-type_ssd,8945761f-adb2-40c8-afb6-5fa1f22d0241,AWS (us-gov-east-1) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_west_1-type_hdd,7369a787-08d2-41e4-9370-326195633eaa,AWS (us-gov-west-1) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_west_1-type_hdd,c06198ff-1d28-4abd-ae89-35bff7961ec6,AWS (us-gov-west-1) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_west_1-type_ssd,de98c8bd-f8e3-4774-9775-9e06cc0ccdd2,AWS (us-gov-west-1) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2021,2021,US,United States of America (the),Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_aws-region_us_gov_west_1-type_ssd,511be71b-1fb8-4467-836f-c75522ec772a,AWS (us-gov-west-1) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,US,United States of America (the),Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Amazon Web Services data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_azure-region_uk,48984429-6d06-42d5-b16f-726b521ddf11,AZURE (uk) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,GB,United Kingdom,Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_azure-region_uk,58e918da-d55a-4467-832c-9c9d027b180c,AZURE (uk) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,GB,United Kingdom,Emission intensity for usage of a single CPU in kg CO2e per hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_azure-region_uk,dba16803-65b6-4491-ac4b-7257db2ce0f9,AZURE (uk) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,GB,United Kingdom,Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_azure-region_uk-type_hdd,47ab9cb8-9288-42e8-b622-657a0fbf18fb,AZURE (uk) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,GB,United Kingdom,Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_azure-region_uk-type_ssd,a76cb021-c639-4b16-bd66-038b93d85826,AZURE (uk) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,GB,United Kingdom,Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_azure-region_brazil,bbb72838-8bd8-4fd2-be9d-36a2258500c4,AZURE (brazil) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
memory-provider_azure-region_brazil_south_east,be41a8dc-a264-4f8e-8cf9-6d5fcbfa529d,AZURE (brazil_south_east) memory,Cloud Computing - Memory,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for use of cloud computing memory in kg CO2e per gigabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/GB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_azure-region_brazil,a5be9f43-c00e-426a-983d-f1d8ef7b9d41,AZURE (brazil) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for usage of a single CPU in kg CO2e per hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
cpu-provider_azure-region_brazil_south_east,2619a8c4-1753-4e58-a61b-707233f7cb2f,AZURE (brazil_south_east) CPU,Cloud Computing - CPU,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for usage of a single CPU in kg CO2e per hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. It is assumed that vCPU utilization is 50%. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,NumberOverTime,kg/CPU-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_azure-region_brazil,c069d984-6dc4-42ea-bf27-f75628123d86,AZURE (brazil) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
networking-provider_azure-region_brazil_south_east,35685142-7c0f-4a4d-bfe1-0e94fe51e073,AZURE (brazil_south_east) networking,Cloud Computing - Networking,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity in kg CO2e per gigabyte of electricity used to power the internal network of the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Data,kg/GB,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_azure-region_brazil-type_hdd,0c14d64e-709b-471c-9b75-036e82419632,AZURE (brazil) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_azure-region_brazil-type_ssd,5b5c2c62-3af6-4f23-8b4a-5dab89d2149c,AZURE (brazil) SSD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for the SSD storage in kg CO2e per terabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
storage-provider_azure-region_brazil_south_east-type_hdd,81ea1738-c5b4-4ce5-992e-762201501e01,AZURE (brazil_south_east) HDD storage,Cloud Computing - Storage,Information and Communication,CCF,https://www.cloudcarbonfootprint.org/docs/methodology/#compute,Derived from CCF models,,2022,2022,BR,Brazil,Emission intensity for the HDD storage in kg CO2e per terabyte-hour for the Azure data centers in the given location using the assumptions and grid emissions factors available in the source as of date accessed. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,DataOverTime,kg/TB-hour,use_phase,['notable_methodological_variance'],public,['ar4'],,,,"{'co2e_total': None, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}",{'status': 'up_to_date'},{'status': 'up_to_date'}
